ithaID,molmech_id,name
1254,5,Altered secondary structure
1265,5,Altered secondary structure
1274,5,Altered secondary structure
1292,5,Altered secondary structure
1300,5,Altered secondary structure
1314,5,Altered secondary structure
2180,5,Altered secondary structure
2184,5,Altered secondary structure
2220,5,Altered secondary structure
2285,5,Altered secondary structure
2305,5,Altered secondary structure
2326,5,Altered secondary structure
2359,5,Altered secondary structure
2361,5,Altered secondary structure
2379,5,Altered secondary structure
2404,5,Altered secondary structure
2414,5,Altered secondary structure
2472,5,Altered secondary structure
2492,5,Altered secondary structure
2525,5,Altered secondary structure
2533,5,Altered secondary structure
2571,5,Altered secondary structure
2962,5,Altered secondary structure
3019,5,Altered secondary structure
3324,5,Altered secondary structure
3362,5,Altered secondary structure
3371,5,Altered secondary structure
3494,5,Altered secondary structure
132,6,Altered α1β1 interface
133,6,Altered α1β1 interface
256,6,Altered α1β1 interface
257,6,Altered α1β1 interface
365,6,Altered α1β1 interface
366,6,Altered α1β1 interface
394,6,Altered α1β1 interface
406,6,Altered α1β1 interface
506,6,Altered α1β1 interface
690,6,Altered α1β1 interface
691,6,Altered α1β1 interface
695,6,Altered α1β1 interface
696,6,Altered α1β1 interface
698,6,Altered α1β1 interface
722,6,Altered α1β1 interface
726,6,Altered α1β1 interface
922,6,Altered α1β1 interface
1150,6,Altered α1β1 interface
1151,6,Altered α1β1 interface
1152,6,Altered α1β1 interface
1153,6,Altered α1β1 interface
1154,6,Altered α1β1 interface
1179,6,Altered α1β1 interface
1180,6,Altered α1β1 interface
1181,6,Altered α1β1 interface
1227,6,Altered α1β1 interface
1228,6,Altered α1β1 interface
1229,6,Altered α1β1 interface
1230,6,Altered α1β1 interface
1241,6,Altered α1β1 interface
1242,6,Altered α1β1 interface
1243,6,Altered α1β1 interface
2023,6,Altered α1β1 interface
2210,6,Altered α1β1 interface
2279,6,Altered α1β1 interface
2331,6,Altered α1β1 interface
2370,6,Altered α1β1 interface
2402,6,Altered α1β1 interface
2416,6,Altered α1β1 interface
2424,6,Altered α1β1 interface
2466,6,Altered α1β1 interface
2467,6,Altered α1β1 interface
2487,6,Altered α1β1 interface
2532,6,Altered α1β1 interface
3001,6,Altered α1β1 interface
3023,6,Altered α1β1 interface
3217,6,Altered α1β1 interface
3227,6,Altered α1β1 interface
365,7,Disrupted AHSP binding
366,7,Disrupted AHSP binding
406,7,Disrupted AHSP binding
506,7,Disrupted AHSP binding
690,7,Disrupted AHSP binding
691,7,Disrupted AHSP binding
726,7,Disrupted AHSP binding
752,7,Disrupted AHSP binding
2210,7,Disrupted AHSP binding
2402,7,Disrupted AHSP binding
2416,7,Disrupted AHSP binding
2424,7,Disrupted AHSP binding
2466,7,Disrupted AHSP binding
2467,7,Disrupted AHSP binding
2487,7,Disrupted AHSP binding
3217,7,Disrupted AHSP binding
3281,7,Disrupted AHSP binding
418,8,Elongated globin
419,8,Elongated globin
420,8,Elongated globin
421,8,Elongated globin
422,8,Elongated globin
785,8,Elongated globin
1306,8,Elongated globin
1311,8,Elongated globin
1320,8,Elongated globin
2526,8,Elongated globin
729,9,Mutated Bohr effect
730,9,Mutated Bohr effect
1312,9,Mutated Bohr effect
1313,9,Mutated Bohr effect
1314,9,Mutated Bohr effect
1315,9,Mutated Bohr effect
1316,9,Mutated Bohr effect
1317,9,Mutated Bohr effect
1318,9,Mutated Bohr effect
2356,9,Mutated Bohr effect
3042,9,Mutated Bohr effect
3398,9,Mutated Bohr effect
171,10,Oxidized heme
645,10,Oxidized heme
646,10,Oxidized heme
647,10,Oxidized heme
648,10,Oxidized heme
649,10,Oxidized heme
1008,10,Oxidized heme
1009,10,Oxidized heme
1010,10,Oxidized heme
1011,10,Oxidized heme
1104,10,Oxidized heme
2308,10,Oxidized heme
2456,10,Oxidized heme
2506,10,Oxidized heme
2549,10,Oxidized heme
3434,10,Oxidized heme
22,11,TATAA box (HBB)
23,11,TATAA box (HBB)
24,11,TATAA box (HBB)
25,11,TATAA box (HBB)
26,11,TATAA box (HBB)
28,11,TATAA box (HBB)
29,11,TATAA box (HBB)
30,11,TATAA box (HBB)
31,11,TATAA box (HBB)
2175,11,TATAA box (HBB)
2179,11,TATAA box (HBB)
3062,11,TATAA box (HBB)
570,12,Unstable R state
1150,12,Unstable R state
1151,12,Unstable R state
1152,12,Unstable R state
1153,12,Unstable R state
1154,12,Unstable R state
2279,12,Unstable R state
1135,13,Unstable T state
1136,13,Unstable T state
1137,13,Unstable T state
1138,13,Unstable T state
1139,13,Unstable T state
1140,13,Unstable T state
1141,13,Unstable T state
2966,13,Unstable T state
